Jordan,74,73,77,86,50,Ñ,Ñ,87,89,1.15,0.23,16,12,8.1,28,6,3,9,11.4,17,3.5,37,3,11910,83,3810,61,42
Kuwait,74,73,76,12,14,Ñ,Ñ,Ñ,Ñ,2.24,0.52,Ñ,2,3.8,17,2,22,5,6.1,8,2.3,23,2,87700,98,35893,52,39
Lebanon,77,76,79,64,16,<0.1,<0.1,75,75,1.09,0.33,Ñ,3,6.2,15,5,31,5.5,5.6,8,1.7,26,6,17330,87,2993,58,34
Oman,77,75,79,48,11,<0.1,<0.1,85,99,1.45,0.35,Ñ,10,4.2,21,3,45,5.2,5.7,10,2.9,22,3,36240,75,13574,24,15
Palestinian Territory,73,72,75,Ñ,Ñ,Ñ,Ñ,79,86,1.5,Ñ,16,Ñ,4.5,32,4,-2,6.6,9.2,18,4.1,40,3,5080,83,9925,57,44
Qatar,78,78,79,11,6,Ñ,Ñ,107,117,6.66,0.53,13,0,2.4,12,1,28,2.8,3,7,2,15,1,133850,100,18750,38,34
Saudi Arabia,74,73,75,41,16,Ñ,Ñ,127,120,1.04,0.26,14,20,31.6,20,4,5,39,47.1,16,2.9,30,3,53760,81,979,24,Ñ
Syria,70,64,76,130,49,<0.1,<0.1,48,48,1.01,0.19,16,12,17.1,23,7,-26,26.1,31.2,16,2.8,33,4,Ñ,54,366,54,38
Turkey,77,75,79,48,20,Ñ,Ñ,104,101,0.86,0.42,26,14,78.2,17,5,3,88.4,93.5,11,2.2,24,8,19040,77,381,74,47
United Arab Emirates,77,76,78,16,8,Ñ,Ñ,Ñ,Ñ,Ñ,0.51,20,18,9.6,14,1,8,12.3,15.5,6,1.8,16,1,63750,83,19093,28,24
Yemen,65,62,67,460,270,<0.1,<0.1,58,40,0.44,0.35,12,0,26.7,33,7,1,35.7,46.1,43,4.4,41,3,3820,34,2110,34,29
SOUTH CENTRAL ASIA,68,66,70,507,174,Ñ,Ñ,69,65,0.91,0.38,19,14,1903,22,7,-1,2227,2526,45,2.5,30,5,6010,34,776,54,46
CENTRAL ASIA,69,65,72,76,40,<0.1,<0.1,100,97,0.87,0.71,Ñ,18,69,25,6,-1,82,96,37,2.9,29,5,9930,47,219,54,50
Kazakhstan,70,66,75,91,26,<0.1,<0.1,100,101,1.3,0.87,51,20,17.5,25,8,0,20.7,24.6,25,3,25,7,21580,53,76,51,50
Kyrgyzstan,70,66,74,85,75,<0.1,<0.1,88,88,1.61,0.7,42,23,6,27,6,-1,8.2,11.6,24,4,32,4,3220,36,463,42,40
Tajikistan,67,64,71,68,44,0.1,0.1,92,82,0.61,0.76,29,15,8.5,33,7,-3,11.2,14.8,40,3.8,36,3,2630,27,990,28,26
Turkmenistan,65,61,70,66,61,Ñ,Ñ,87,84,0.64,0.61,Ñ,26,5.4,21,8,-1,6.2,6.6,46,2.3,28,4,14520,50,279,48,46
Uzbekistan,68,65,72,66,36,<0.1,<0.1,106,104,0.65,0.64,Ñ,16,31.3,23,5,-1,36,38.3,44,2.4,28,4,5840,51,721,65,59
SOUTH ASIA,68,66,70,525,179,Ñ,Ñ,68,64,0.91,0.37,19,14,1834,22,7,-1,2145,2430,45,2.5,30,5,5870,33,857,54,46
Afghanistan,61,60,62,1200,400,<0.1,<0.1,70,38,0.33,0.2,18,25,32.2,34,8,2,45.8,64.3,74,4.9,45,2,1980,25,415,21,20
Bangladesh,70,71,550,170,<0.1,<0.1,50,57,0.72,0.68,18,,,160.4,20,6,-3,185.1,201.9,38,2.3,33,5,3340,23,2089,62,54
Bhutan,68,68,69,900,120,Ñ,Ñ,75,80,0.74,0.86,26,8,0.8,18,7,2,0.9,1.1,47,2.2,31,5,7560,38,764,66,65
India,68,66,69,560,190,Ñ,Ñ,73,69,0.92,0.34,19,12,1314.1,21,7,-1,1512.9,1660.1,42,2.3,29,5,5760,32,842,54,47
Iran,74,72,76,83,23,<0.1,<0.1,89,83,0.94,0.23,15,3,78.5,19,5,-1,90.2,99.3,15,1.8,24,5,16080,71,442,82,60
Maldives,74,73,75,430,31,Ñ,Ñ,Ñ,Ñ,1.13,0.73,41,6,0.3,22,3,0,0.4,0.6,9,2.2,26,5,12770,45,11565,35,27
Nepal,67,66,69,790,190,<0.1,<0.1,65,69,0.81,0.92,Ñ,30,28,22,7,-1,32.4,36,33,2.4,33,6,2420,18,1322,50,47
Pakistan,66,66,67,400,170,<0.1,<0.1,44,32,0.98,0.3,13,20,199,30,7,-2,254.7,344,69,3.8,36,4,5100,38,939,35,26
Sri Lanka,74,71,77,49,29,<0.1,<0.1,96,102,1.6,0.46,32,6,20.9,18,6,-4,22.5,23,9,2.3,25,8,10270,18,1672,68,53
SOUTHEAST ASIA,71,68,73,306,131,0.3,0.3,78,78,1.09,0.72,39,17,628,20,7,0,737,839,28,2.4,27,6,10720,47,906,62,54
Brunei,79,77,80,26,27,Ñ,Ñ,105,107,1.82,0.7,Ñ,Ñ,0.4,17,3,1,0.5,0.5,4,1.6,25,5,71020,77,9796,Ñ,Ñ
Cambodia,64,61,66,1200,170,0.1,0.2,49,41,0.61,0.91,41,19,15.4,24,6,-2,18.1,21.3,28,2.7,31,6,3080,21,376,56,39
Indonesia,71,69,73,430,190,0.4,0.4,84,82,1.03,0.61,35,17,255.7,21,6,-1,307.6,366.5,31,2.6,29,5,10250,54,1086,62,58
Laos,68,67,70,1100,220,0.1,0.2,53,48,0.88,0.96,35,25,6.9,27,6,-3,8.8,10.6,68,3.1,37,4,4910,38,475,50,42
Malaysia,75,73,77,56,29,0.1,<0.1,73,69,1.21,0.59,39,14,30.8,17,5,3,36,42.3,7,2,26,6,23850,74,3231,49,32
Myanmar,65,63,67,580,200,0.4,0.3,49,51,1.23,0.91,Ñ,5,52.1,19,9,-1,56.5,56.5,62,2.3,24,5,Ñ,34,481,46,46
Philippines,69,65,72,110,120,<0.1,<0.1,83,88,1.26,0.64,42,27,103,23,6,-1,127.8,157.1,23,2.9,34,4,8300,44,1857,55,38
Singapore,83,80,85,8,6,Ñ,Ñ,Ñ,Ñ,Ñ,0.76,47,25,5.5,10,5,14,6.5,7,1.8,1.3,16,11,80270,100,879543,62,55
Thailand,75,72,78,42,26,0.3,0.2,83,89,1.34,0.8,45,6,65.1,12,8,0,69.8,66.1,11,1.6,18,11,13950,49,393,79,77
Timor-Leste,68,66,69,1200,270,Ñ,Ñ,56,57,0.73,0.48,23,38,1.2,36,8,-9,1.8,2.8,45,5.7,42,5,5680,32,775,22,21
