country,Deaths_per_100k_Population,Infant_mortality_rate,LifeExp_Male,Percent_HIV-AIDS_Female,Percent_of_pop_over_65,Total_fertility_rate,Maternal_Deaths_1990,INET_USRS_2014
St. Martin (French part),4.1,,76.2,,,1.81,,
St. Vincent and the Grenadines,7.076,17.0,70.871,,7.17172640819313,1.974,58.0,52.0
Sudan,7.762,48.8,61.98,0.2,3.2910240980787,4.353,744.0,22.7
Suriname,7.408,19.5,68.029,0.5,6.79816738752397,2.36,127.0,37.4
Swaziland,14.37,45.8,49.624,15.5,3.53530657656692,3.266,635.0,24.7
Sweden,9.2,2.4,80.2,0.1,19.6316243418311,1.89,8.0,94.7836
Switzerland,7.8,3.5,80.8,,17.8373971838849,1.52,8.0,86.34
Syrian Arab Republic,5.663,11.7,63.972,0.1,3.93090822678154,2.95,123.0,26.2
Tajikistan,5.608,39.7,66.197,0.1,3.05597745375995,3.49,107.0,16.0
Tanzania,6.905,36.2,63.54,2.1,3.19314802699771,5.145,997.0,4.4
Thailand,7.901,10.9,71.143,0.2,10.0838778572695,1.512,40.0,28.94
Timor-Leste,6.876,46.1,66.545,,5.49215455865073,5.1,1080.0,1.1
Togo,8.94,53.6,58.948,0.8,2.7576599439816,4.584,568.0,4.5
Tonga,6.016,14.7,69.92,,5.88430284317997,3.722,75.0,35.0
Trinidad and Tobago,9.392,18.7,67.023,,9.1637916459638,1.778,90.0,63.8
Tunisia,6.2,12.6,71.9,0.1,7.4869134784658,2.2,131.0,43.8
Turkey,5.727,12.3,71.984,,7.38828835350513,2.07,97.0,46.25
Turkmenistan,7.778,45.0,61.5,,4.10761781945542,2.301,82.0,9.6
Turks and Caicos Islands,,,,,,,,
Tuvalu,,23.4,,,,,,37.0
Uganda,9.654,39.1,56.743,3.7,2.49860975728986,5.775,687.0,16.2
Ukraine,14.7,8.1,66.25,0.6,15.2776144843696,1.498,46.0,41.0
United Arab Emirates,1.589,6.1,76.295,,1.03930833547671,1.784,17.0,88.0
United Kingdom,8.8,3.7,79.3,,17.4985778317594,1.83,10.0,89.8441
United States,8.1,5.7,76.6,,14.3897106161988,1.8615,12.0,84.2
Uruguay,9.329,9.1,73.512,0.1,14.3329055924874,2.02,37.0,57.69
Uzbekistan,4.9,35.0,65.04,0.1,4.61918567591292,2.2,54.0,38.2
Vanuatu,4.737,23.5,69.931,,4.10919218334151,3.347,225.0,11.3
"Venezuela, RB",5.528,13.2,70.204,0.2,6.10012886304468,2.365,94.0,54.9
Vietnam,5.815,17.8,71.014,0.2,6.62109498793475,1.961,139.0,43.9
Virgin Islands (U.S.),8.2,,76.7,,16.8678442301898,1.75,,45.3
West Bank and Gaza,3.599,18.5,70.965,,2.919623016786,4.176,118.0,46.6
"Yemen, Rep.",6.919,35.1,62.486,0.1,2.72530869997017,4.16,547.0,20.0
Zambia,9.018,44.7,58.229,4.2,2.91896182151869,5.353,577.0,15.4
Zimbabwe,9.819,47.6,56.171,7.0,3.00116982615931,3.923,440.0,18.5
